share,pol,seed,Q
0.5,base,1,204.000
0.5,base,2,210.000
0.5,base,3,216.000
0.5,signal,1,810.000
0.5,signal,2,834.000
0.5,signal,3,852.000
0.5,cloud,1,750.000
0.5,cloud,2,696.000
0.5,cloud,3,642.000
0.6,base,1,204.000
0.6,base,2,210.000
0.6,base,3,216.000
0.6,signal,1,840.000
0.6,signal,2,846.000
0.6,signal,3,822.000
0.6,cloud,1,732.000
0.6,cloud,2,606.000
0.6,cloud,3,672.000
0.7,base,1,204.000
0.7,base,2,210.000
0.7,base,3,210.000
0.7,signal,1,768.000
0.7,signal,2,822.000
0.7,signal,3,804.000
0.7,cloud,1,816.000
0.7,cloud,2,786.000
0.7,cloud,3,774.000
0.8,base,1,204.000
0.8,base,2,210.000
0.8,base,3,204.000
0.8,signal,1,672.000
0.8,signal,2,696.000
0.8,signal,3,690.000
0.8,cloud,1,846.000
0.8,cloud,2,882.000
0.8,cloud,3,768.000
0.9,base,1,204.000
0.9,base,2,210.000
0.9,base,3,186.000
0.9,signal,1,546.000
0.9,signal,2,588.000
0.9,signal,3,516.000
0.9,cloud,1,1014.000
0.9,cloud,2,960.000
0.9,cloud,3,1014.000
0.95,base,1,138.000
0.95,base,2,156.000
0.95,base,3,186.000
0.95,signal,1,462.000
0.95,signal,2,480.000
0.95,signal,3,504.000
0.95,cloud,1,990.000
0.95,cloud,2,1044.000
0.95,cloud,3,1038.000
0.5,base,4,216.000
0.5,base,5,204.000
0.5,signal,4,816.000
0.5,signal,5,846.000
0.5,cloud,4,702.000
0.5,cloud,5,684.000
0.6,base,4,210.000
0.6,base,5,204.000
0.6,signal,4,822.000
0.6,signal,5,840.000
0.6,cloud,4,696.000
0.6,cloud,5,732.000
0.7,base,4,210.000
0.7,base,5,216.000
0.7,signal,4,834.000
0.7,signal,5,810.000
0.7,cloud,4,726.000
0.7,cloud,5,792.000
0.8,base,4,210.000
0.8,base,5,216.000
0.8,signal,4,690.000
0.8,signal,5,702.000
0.8,cloud,4,888.000
0.8,cloud,5,876.000
0.9,base,4,210.000
0.9,base,5,210.000
0.9,signal,4,570.000
0.9,signal,5,540.000
0.9,cloud,4,996.000
0.9,cloud,5,1032.000
0.95,base,4,186.000
0.95,base,5,180.000
0.95,signal,4,504.000
0.95,signal,5,504.000
0.95,cloud,4,996.000
0.95,cloud,5,1026.000
