bmax,pol,seed,Q
6.0,cloud,1,570.000
6.0,cloud,2,564.000
6.0,cloud,3,528.000
9.0,cloud,1,588.000
9.0,cloud,2,564.000
9.0,cloud,3,528.000
12.0,cloud,1,594.000
12.0,cloud,2,564.000
12.0,cloud,3,528.000
16.0,cloud,1,606.000
16.0,cloud,2,564.000
16.0,cloud,3,528.000
20.0,cloud,1,594.000
20.0,cloud,2,564.000
20.0,cloud,3,528.000
26.0,cloud,1,594.000
26.0,cloud,2,564.000
26.0,cloud,3,528.000
34.0,cloud,1,594.000
34.0,cloud,2,564.000
34.0,cloud,3,528.000
45.0,cloud,1,594.000
45.0,cloud,2,564.000
45.0,cloud,3,528.000
60.0,cloud,1,594.000
60.0,cloud,2,564.000
60.0,cloud,3,528.000
0.0,signal,1,834.000
0.0,signal,2,846.000
0.0,signal,3,852.000
