gopp,pol,seed,Q
0.5,cloud,1,672.000
0.5,cloud,2,666.000
0.5,cloud,3,636.000
0.75,cloud,1,648.000
0.75,cloud,2,648.000
0.75,cloud,3,594.000
1.0,cloud,1,630.000
1.0,cloud,2,624.000
1.0,cloud,3,570.000
1.25,cloud,1,606.000
1.25,cloud,2,606.000
1.25,cloud,3,552.000
1.5,cloud,1,594.000
1.5,cloud,2,564.000
1.5,cloud,3,528.000
1.75,cloud,1,570.000
1.75,cloud,2,540.000
1.75,cloud,3,516.000
2.0,cloud,1,558.000
2.0,cloud,2,528.000
2.0,cloud,3,498.000
-1.0,signal,1,834.000
-1.0,signal,2,846.000
-1.0,signal,3,852.000
