lambda,policy,Q_vehph,wait_mean_s,wait_p95_s,travel_mean_s
0.05,base,205.0,41.15,105.12,98.96
0.1,base,220.0,89.47,196.35,147.43
0.15,base,220.0,111.73,230.07,169.56
0.2,base,220.0,122.58,249.21,180.69
0.25,base,220.0,128.45,260.19,186.68
0.3,base,225.0,137.11,281.17,195.71
0.4,base,225.0,141.58,290.91,200.95
0.5,base,225.0,143.96,294.90,204.35
0.05,signal,295.0,3.68,17.05,58.68
0.1,signal,585.0,8.26,23.82,67.08
0.15,signal,755.0,27.95,61.36,92.98
0.2,signal,790.0,48.74,103.72,120.20
0.25,signal,810.0,62.88,125.70,137.99
0.3,signal,815.0,71.92,150.70,149.85
0.4,signal,835.0,83.76,170.83,166.49
0.5,signal,835.0,91.61,186.03,177.58
0.05,cloud,305.0,0.00,0.00,54.60
0.1,cloud,580.0,0.09,0.78,60.03
0.15,cloud,690.0,10.80,33.40,95.08
0.2,cloud,675.0,31.89,86.64,128.18
0.25,cloud,645.0,46.52,127.42,147.32
0.3,cloud,585.0,62.38,165.22,165.52
0.4,cloud,560.0,76.12,194.41,182.19
0.5,cloud,535.0,81.48,200.02,190.61
