lambda,policy,Q_mean,Q_std,wait_mean,wait_std,p95_mean,p95_std,travel_mean,travel_std
0.05,base,205.2,11.0,108.11,22.82,230.19,42.00,166.75,22.46
0.05,cloud,351.6,39.9,0.02,0.06,0.00,0.00,55.20,0.99
0.1,base,211.2,4.5,196.63,16.94,385.95,21.77,255.84,16.83
0.1,cloud,685.2,35.2,4.80,6.12,17.87,15.77,76.89,15.29
0.15,base,210.0,4.6,230.66,12.52,442.61,16.90,290.87,12.94
0.15,cloud,742.2,29.0,53.66,22.33,136.98,46.63,150.12,22.64
0.2,base,211.2,5.9,246.13,9.61,473.61,14.02,307.68,10.42
0.2,cloud,673.8,30.5,113.66,21.00,268.11,38.94,211.94,18.95
0.25,base,211.2,5.2,255.65,9.09,491.75,13.40,318.80,10.10
0.25,cloud,614.4,31.7,148.20,17.37,349.86,32.40,245.73,16.11
0.3,base,210.6,4.2,262.43,6.83,504.42,12.69,327.40,8.39
0.3,cloud,581.4,37.1,166.73,13.41,384.30,21.51,266.62,12.44
0.35,base,209.4,3.2,266.27,4.62,511.43,10.78,333.07,6.37
0.35,cloud,555.6,25.3,176.34,13.90,406.63,17.49,279.28,12.75
0.4,base,208.8,3.6,268.71,3.76,517.15,9.64,337.28,5.47
0.4,cloud,547.8,16.8,187.98,10.90,418.30,12.95,290.78,10.70
0.45,base,208.2,3.8,270.01,3.34,520.22,9.02,340.23,5.04
0.45,cloud,526.8,19.3,194.52,10.09,425.56,13.85,297.60,10.01
0.5,base,187.8,62.7,243.60,81.26,471.50,157.36,308.32,102.87
0.5,cloud,541.8,21.3,198.15,11.25,431.12,10.92,303.57,10.38
