share,pol,seed,Q,Wh,Wl,stops
0.5,base,1,210.00,180.34,162.53,4.686
0.5,base,2,210.00,200.42,182.62,4.686
0.5,base,3,198.00,184.49,162.46,4.606
0.5,base,4,204.00,160.94,211.36,4.824
0.5,base,5,204.00,174.58,204.47,4.794
0.5,signal,1,516.00,14.89,51.16,1.314
0.5,signal,2,600.00,51.86,47.71,1.960
0.5,signal,3,552.00,11.18,36.91,1.022
0.5,signal,4,552.00,32.64,10.19,0.870
0.5,signal,5,564.00,38.41,18.21,1.234
0.5,actuated,1,546.00,9.45,26.42,0.791
0.5,actuated,2,672.00,23.46,35.06,1.054
0.5,actuated,3,588.00,7.76,16.92,0.622
0.5,actuated,4,588.00,24.28,13.10,0.745
0.5,actuated,5,594.00,18.70,7.88,0.677
0.5,cloud,1,558.00,5.77,4.52,0.301
0.5,cloud,2,630.00,13.02,15.16,0.676
0.5,cloud,3,564.00,3.64,5.83,0.340
0.5,cloud,4,612.00,5.93,5.79,0.284
0.5,cloud,5,582.00,4.92,5.16,0.361
0.6,base,1,192.00,197.75,113.64,4.156
0.6,base,2,210.00,204.09,181.75,4.800
0.6,base,3,204.00,193.22,145.51,4.588
0.6,base,4,204.00,175.20,178.62,4.559
0.6,base,5,204.00,179.76,193.02,4.588
0.6,signal,1,546.00,14.63,19.05,0.703
0.6,signal,2,600.00,60.09,21.87,1.640
0.6,signal,3,558.00,17.69,14.39,0.903
0.6,signal,4,546.00,28.13,23.75,1.088
0.6,signal,5,558.00,33.92,23.28,1.237
0.6,actuated,1,546.00,9.04,13.56,0.440
0.6,actuated,2,654.00,44.88,13.76,1.128
0.6,actuated,3,564.00,12.07,7.14,0.553
0.6,actuated,4,606.00,16.53,10.63,0.614
0.6,actuated,5,606.00,16.67,6.10,0.554
0.6,cloud,1,546.00,3.93,3.97,0.242
0.6,cloud,2,636.00,20.28,23.50,0.840
0.6,cloud,3,582.00,1.67,2.73,0.155
0.6,cloud,4,612.00,7.96,8.16,0.392
0.6,cloud,5,600.00,2.94,5.02,0.250
0.7,base,1,204.00,186.99,149.98,5.206
0.7,base,2,210.00,216.38,164.16,5.114
0.7,base,3,204.00,207.99,113.80,4.382
0.7,base,4,198.00,199.74,149.12,4.424
0.7,base,5,204.00,220.38,118.75,4.529
0.7,signal,1,480.00,47.43,23.02,1.663
0.7,signal,2,546.00,71.09,13.63,1.868
0.7,signal,3,504.00,32.27,12.30,1.167
0.7,signal,4,498.00,58.72,10.75,1.434
0.7,signal,5,486.00,86.12,7.12,2.173
0.7,actuated,1,558.00,20.51,4.51,0.677
0.7,actuated,2,582.00,54.95,8.54,1.392
0.7,actuated,3,570.00,12.17,6.61,0.495
0.7,actuated,4,582.00,21.22,8.05,0.711
0.7,actuated,5,624.00,13.87,3.29,0.567
0.7,cloud,1,570.00,2.73,5.05,0.211
0.7,cloud,2,720.00,4.55,10.95,0.358
0.7,cloud,3,570.00,1.98,2.04,0.137
0.7,cloud,4,618.00,3.26,3.07,0.184
0.7,cloud,5,618.00,0.63,2.23,0.058
0.8,base,1,204.00,196.17,87.25,3.971
0.8,base,2,198.00,225.54,57.32,4.303
0.8,base,3,198.00,210.84,98.69,3.848
0.8,base,4,198.00,205.21,96.91,4.212
0.8,base,5,198.00,233.08,7.93,3.485
0.8,signal,1,420.00,70.90,9.20,2.129
0.8,signal,2,456.00,98.95,7.07,2.882
0.8,signal,3,492.00,35.38,6.65,1.134
0.8,signal,4,468.00,65.60,6.09,1.859
0.8,signal,5,432.00,92.28,6.40,2.736
0.8,actuated,1,570.00,6.23,3.74,0.389
0.8,actuated,2,588.00,46.26,4.82,1.592
0.8,actuated,3,558.00,6.47,2.18,0.366
0.8,actuated,4,546.00,30.37,4.99,1.000
0.8,actuated,5,624.00,5.90,0.66,0.308
0.8,cloud,1,564.00,0.42,0.32,0.021
0.8,cloud,2,762.00,3.66,12.16,0.236
0.8,cloud,3,582.00,1.05,2.90,0.103
0.8,cloud,4,618.00,1.77,3.85,0.146
0.8,cloud,5,654.00,0.24,0.32,0.009
0.9,base,1,174.00,236.07,1.33,3.414
0.9,base,2,186.00,227.72,52.19,4.452
0.9,base,3,162.00,235.09,4.74,3.148
0.9,base,4,150.00,234.12,1.41,3.080
0.9,base,5,162.00,233.83,5.42,3.407
0.9,signal,1,390.00,76.90,4.16,2.477
0.9,signal,2,420.00,104.11,5.34,3.071
0.9,signal,3,414.00,64.43,7.41,2.275
0.9,signal,4,378.00,90.68,4.35,2.857
0.9,signal,5,384.00,100.31,4.90,3.062
0.9,actuated,1,552.00,11.03,1.83,0.565
0.9,actuated,2,690.00,24.36,1.76,0.904
0.9,actuated,3,552.00,6.53,1.06,0.337
0.9,actuated,4,612.00,4.58,0.80,0.225
0.9,actuated,5,606.00,6.23,1.80,0.337
0.9,cloud,1,570.00,0.23,0.36,0.032
0.9,cloud,2,774.00,3.40,14.16,0.240
0.9,cloud,3,582.00,0.03,0.00,0.000
0.9,cloud,4,630.00,0.00,0.00,0.000
0.9,cloud,5,630.00,0.24,0.86,0.029
0.95,base,1,126.00,247.24,0.00,5.095
0.95,base,2,138.00,252.44,2.66,3.783
0.95,base,3,126.00,244.08,0.00,4.524
0.95,base,4,150.00,250.03,0.50,3.440
0.95,base,5,132.00,234.72,0.43,4.045
0.95,signal,1,354.00,82.95,3.20,2.915
0.95,signal,2,372.00,119.04,9.58,3.839
0.95,signal,3,348.00,78.28,6.70,2.828
0.95,signal,4,366.00,94.29,7.68,3.082
0.95,signal,5,360.00,103.91,9.05,3.467
0.95,actuated,1,582.00,1.56,0.00,0.093
0.95,actuated,2,774.00,6.55,0.00,0.302
0.95,actuated,3,612.00,2.28,0.00,0.108
0.95,actuated,4,618.00,5.73,0.00,0.291
0.95,actuated,5,648.00,5.10,5.78,0.241
0.95,cloud,1,594.00,0.08,0.15,0.010
0.95,cloud,2,792.00,0.73,4.25,0.061
0.95,cloud,3,600.00,0.08,0.48,0.000
0.95,cloud,4,630.00,0.23,0.91,0.038
0.95,cloud,5,654.00,0.00,0.00,0.000
